time_s,max_C_1d,max_C_2d,difference_2d_minus_1d
7.080000000000000000e+04,2.769058060268513866e-01,2.769016376807342250e-01,-4.168346117161547681e-06
7.140000000000000000e+04,2.749813235948164181e-01,2.749771741569352890e-01,-4.149437881129092176e-06
7.200000000000000000e+04,2.730994364703852595e-01,2.730953056381753563e-01,-4.130832209903179120e-06
7.260000000000000000e+04,2.712587570758491218e-01,2.712546445579825383e-01,-4.112517866583509374e-06
7.320000000000000000e+04,2.694579544498159618e-01,2.694538599656770561e-01,-4.094484138905674087e-06
7.380000000000000000e+04,2.676957516125287317e-01,2.676916748916610134e-01,-4.076720867718375274e-06
7.440000000000000000e+04,2.659709230571058458e-01,2.659668638374403926e-01,-4.059219665453195347e-06
7.500000000000000000e+04,2.642822923721611095e-01,2.642782504037798907e-01,-4.041968381218730144e-06
7.560000000000000000e+04,2.626287299734686997e-01,2.626247050137984762e-01,-4.024959670223537955e-06
7.620000000000000000e+04,2.610091509457816983e-01,2.610051427606727703e-01,-4.008185108927975193e-06
7.680000000000000000e+04,2.594225129966795662e-01,2.594185213600014306e-01,-3.991636678135623839e-06
7.740000000000000000e+04,2.578678145094775442e-01,2.578638392027395865e-01,-3.975306737957762238e-06
7.800000000000000000e+04,2.563440926924530627e-01,2.563401335044426244e-01,-3.959188010438374761e-06
7.860000000000000000e+04,2.548504218196560034e-01,2.548464785460945459e-01,-3.943273561457516507e-06
7.920000000000000000e+04,2.533859115587615563e-01,2.533819840019772007e-01,-3.927556784355523689e-06
7.980000000000000000e+04,2.519497053816216470e-01,2.519457933502376457e-01,-3.912031384001313228e-06
8.040000000000000000e+04,2.505409790533480452e-01,2.505370823619864629e-01,-3.896691361582327318e-06
8.100000000000000000e+04,2.491589391959586341e-01,2.491550576649591009e-01,-3.881530999533255866e-06
8.160000000000000000e+04,2.478028219227887963e-01,2.477989553779408050e-01,-3.866544847991315592e-06
8.220000000000000000e+04,2.464718915400541666e-01,2.464680398123429705e-01,-3.851727711196017978e-06
8.280000000000000000e+04,2.451654393121190101e-01,2.451616022375103787e-01,-3.837074608631363404e-06
8.340000000000000000e+04,2.438827822885169805e-01,2.438789597083739769e-01,-3.822580143003628805e-06
8.400000000000000000e+04,2.426232621839221615e-01,2.426194539426813068e-01,-3.808241240854659537e-06
8.460000000000000000e+04,2.413862443165606664e-01,2.413824502636957858e-01,-3.794052864880548270e-06
8.520000000000000000e+04,2.401711165988595076e-01,2.401673365879513633e-01,-3.780010908144282311e-06
8.580000000000000000e+04,2.389772885741545394e-01,2.389735224627037857e-01,-3.766111450753673040e-06
8.640000000000000000e+04,2.378041905008124735e-01,2.378004381500633535e-01,-3.752350749119948148e-06
