time_s,air_T_C,surface_C_drybasis,air_dewpoint_C,baseline_center_T_C,baseline_surface_T_C,latent_center_T_C,latent_surface_T_C
7.100000000000000000e+01,2.864973333333333372e+01,2.291960438884676599e+00,2.502264173727253649e+01,2.800000196149341747e+01,2.810428610329980259e+01,2.799850857495581735e+01,1.826674150164166477e+01
7.200000000000000000e+01,2.866079999999999828e+01,2.290255867035148718e+00,2.502953175705883027e+01,2.800000228466653951e+01,2.810662879455778906e+01,2.799830576627680045e+01,1.821433259894312684e+01
7.300000000000000000e+01,2.867186666666666639e+01,2.288564504642481623e+00,2.503641877578096953e+01,2.800000265122904608e+01,2.810899387677616090e+01,2.799808182727473138e+01,1.816249371807425916e+01
7.400000000000000000e+01,2.868293333333333095e+01,2.286886080137900734e+00,2.504330279597515485e+01,2.800000306564622221e+01,2.811138082893770118e+01,2.799783527594212273e+01,1.811121260017064571e+01
7.500000000000000000e+01,2.869399999999999906e+01,2.285220331021139639e+00,2.505018382017447109e+01,2.800000353269165387e+01,2.811378917700304925e+01,2.799756458620591459e+01,1.806047743041183651e+01
7.600000000000000000e+01,2.870506666666666717e+01,2.283567003245063010e+00,2.505706185090869553e+01,2.800000405745884891e+01,2.811621848671422796e+01,2.799726819018289348e+01,1.801027681482196385e+01
7.700000000000000000e+01,2.871613333333333173e+01,2.281925850992059690e+00,2.506393689070448616e+01,2.800000464536976708e+01,2.811866835800097064e+01,2.799694448055177887e+01,1.796059975865332348e+01
7.800000000000000000e+01,2.872719999999999985e+01,2.280296636463978732e+00,2.507080894208527866e+01,2.800000530218224526e+01,2.812113841996287533e+01,2.799659181289261767e+01,1.791143564448874770e+01
7.900000000000000000e+01,2.873826666666666441e+01,2.278679129537394932e+00,2.507767800757133259e+01,2.800000603399753629e+01,2.812362832665771251e+01,2.799620850804249983e+01,1.786277421185137371e+01
8.000000000000000000e+01,2.874933333333333252e+01,2.277073107371299088e+00,2.508454408967968163e+01,2.800000684726765243e+01,2.812613775392253856e+01,2.799579285452886168e+01,1.781460553904152277e+01
8.100000000000000000e+01,2.876040000000000063e+01,2.275478354061793329e+00,2.509140719092421534e+01,2.800000774880253118e+01,2.812866639691487336e+01,2.799534311107695572e+01,1.776692002671861204e+01
8.200000000000000000e+01,2.877146666666666519e+01,2.273894660351073238e+00,2.509826731381566134e+01,2.800000874577633780e+01,2.813121396799478546e+01,2.799485750911420823e+01,1.771970838289894701e+01
8.300000000000000000e+01,2.878253333333333330e+01,2.272321823357629889e+00,2.510512446086153915e+01,2.800000984573315321e+01,2.813378019485872272e+01,2.799433425547847065e+01,1.767296160781104319e+01
8.400000000000000000e+01,2.879359999999999786e+01,2.270759646310116064e+00,2.511197863456623480e+01,2.800001105659242384e+01,2.813636481891374430e+01,2.799377153460190115e+01,1.762667098267429111e+01
8.500000000000000000e+01,2.880466666666666598e+01,2.269207938288942739e+00,2.511882983743101505e+01,2.800001238665329950e+01,2.813896759408527970e+01,2.799316751158993810e+01,1.758082805434414553e+01
8.600000000000000000e+01,2.881573333333333409e+01,2.267666513989716748e+00,2.512567807195387104e+01,2.800001384459971376e+01,2.814158828549319935e+01,2.799252033458875388e+01,1.753542462479264685e+01
8.700000000000000000e+01,2.882679999999999865e+01,2.266135193473836740e+00,2.513252334062978832e+01,2.800001543950386917e+01,2.814422666852092547e+01,2.799182813721963470e+01,1.749045274074222789e+01
